"Skola","SkolaNew","Pieteikti","Est5To12","RakstVieta","Notes"
"Jelgavas Valsts ģimnāzija","Jelgavas Valsts ģimnāzija",24,667,"Rīga",
"Jersikas pamatskola","Jersikas pamatskola",3,60,"Daugavpils",
"Jēkabpils 2. vidusskola","Jēkabpils 2. vidusskola",18,380,"Daugavpils",
"Jēkabpils 3.vidusskola","Jēkabpils 3. vidusskola",6,374,"Daugavpils",
"Jēkabpils pamatskola","Jēkabpils pamatskola",15,98,"Daugavpils",
"Jēkabpils Valsts ģimnāzija","Jēkabpils Valsts ģimnāzija",27,520,"Daugavpils",
"Jūrmalas Alternatīvā skola","Jūrmalas Alternatīvā skola",23,85,"Rīga",
"Jūrmalas pilsētas Kauguru vidusskola","Jūrmalas pilsētas Kauguru vidusskola",2,350,"Rīga",
"Jūrmalas Pumpuru vidusskola","Jūrmalas Pumpuru vidusskola",2,0,"Rīga",
"Jūrmalas sākumskola ""Atvase""","Jūrmalas sākumskola ""Atvase""",9,108,"Rīga",
"Jūrmalas Valsts ģimnāzija","Jūrmalas Valsts ģimnāzija",7,0,"Rīga",
"Kalētu pamatskola","Kalētu pamatskola",4,45,"Liepāja",
"Kalnciema pagasta vidusskola","Kalnciema pagasta vidusskola",1,99,"Rīga",
"Kalupes pamatskola","Kalupes pamatskola",3,40,"Daugavpils",
"Kaunatas vidusskola","Kaunatas vidusskola",2,162,"Daugavpils",
"Kārķu pamatskola","Kārķu pamatskola",1,28,"Rīga",
"Kocēnu novada Rubenes pamatskola","Rubenes pamatskola",3,70,"Rīga",
"Kolkas pamatskola","Kolkas pamatskola",1,34,"Rīga",
"Krāslavas pamatskola","Krāslavas pamatskola",4,208,"Daugavpils",
"Krāslavas Valsts ģimnāzija","Krāslavas Valsts ģimnāzija",16,170,"Daugavpils","16-Daugavpils, 2-Rīga"
"Krotes Kronvalda Ata pamatskola","Krotes Kronvalda Ata pamatskola",3,43,"Liepāja",
"Kuldīgas 2. vidusskola","Kuldīgas 2. vidusskola",1,0,"Rīga",
"Kuldīgas Centra vidusskola","Kuldīgas Centra vidusskola",1,0,"Rīga",
"Ķeguma komercnovirziena vidusskola","Ķeguma komercnovirziena vidusskola",6,164,"Rīga",
"Ķekavas vidusskola","Ķekavas vidusskola",4,495,"Rīga",
"Lapmežciema pamatskola","Lapmežciema pamatskola",11,57,"Rīga",
"Latvijas Jūras Akadēmijas jūrskola","Latvijas Jūras Akadēmijas jūrskola",1,0,"Rīga",
"Latvijas Starptautiskā skola","Latvijas Starptautiskā skola",1,0,"Rīga",
"Laurenču sākumskola","Laurenču sākumskola",5,39,"Rīga",
"Lielupes vidusskola","Jūrmalas pilsētas Lielupes vidusskola",1,0,"Rīga",
"Liepājas 15.vidusskola","Liepājas 15. vidusskola",16,545,"Liepāja",
"Liepājas 7.vidusskola","Liepājas 7. vidusskola",30,548,"Liepāja",
"Liepājas 8. vidusskola","Liepājas 8. vidusskola",1,0,"Liepāja",
"Liepājas A.Puškina 2.vidusskola","Liepājas A.Puškina 2. vidusskola",29,458,"Liepāja",
"Liepājas Centra sākumskola","Liepājas Centra sākumskola",7,167,"Liepāja",
"Liepājas Katoļu pamatskola","Liepājas Katoļu pamatskola",9,78,"Liepāja",
"Liepājas pilsētas 12.vidusskola","Liepājas pilsētas 12. vidusskola",26,359,"Liepāja",
"Liepājas pilsētas 8. vidusskola","Liepājas pilsētas 8. vidusskola",11,0,"Liepāja",
"Liepājas Raiņa 6.vidusskola","Liepājas Raiņa 6. vidusskola",15,487,"Liepāja",
"Liepājas Valsts 1.ģimnāzija","Liepājas Valsts 1. ģimnāzija",28,555,"Liepāja",
"Liepupes vidusskola","Liepupes vidusskola",2,0,"Rīga",
"Limbažu 3. vidusskola","Limbažu 3. vidusskola",30,0,"Rīga",
"Limbažu novada ģimnāzija","Limbažu novada ģimnāzija",3,250,"Rīga",
"Līgatnes novada vidusskola","Līgatnes novada vidusskola",1,0,"Rīga",
"Līvānu 1. vidusskola","Līvānu 1. vidusskola",26,325,"Daugavpils",
"Līvānu 2.vidusskola","Līvānu 2. vidusskola",7,201,"Daugavpils",
"Līvānu novada Vakara (maiņu) vidusskola","Līvānu novada Vakara (maiņu) vidusskola",1,1,"Daugavpils",
"Ludzas 2.vidusskola","Ludzas 2. vidusskola",1,0,"Daugavpils",
"Ludzas pilsētas ģimnāzija","Ludzas pilsētas ģimnāzija",2,0,"Daugavpils",
"Madonas Valsts ģimnāzija","Madonas Valsts ģimnāzija",27,250,"Rīga",
"Majoru vidusskola","Majoru vidusskola",17,265,"Rīga",
"Mazsalacas vidusskola","Mazsalacas vidusskola",23,160,"Rīga",
"Mālpils novada vidusskola","Mālpils novada vidusskola",20,187,"Rīga",
"Mārupes pamatskola","Mārupes pamatskola",2,0,"Rīga",
"Mārupes vidusskola","Mārupes vidusskola",22,600,"Rīga",
"Māteru Jura Kazdangas pamatskola","Māteru Jura Kazdangas pamatskola",3,128,"Liepāja",
"Mežciema pamatskola","Mežciema pamatskola",5,267,"Rīga",
"Mežvidu pamatskola","Mežvidu pamatskola",1,33,"Daugavpils",
"Mērsraga vidusskola","Mērsraga vidusskola",4,85,"Rīga",
"Misas vidusskola","Misas vidusskola",1,0,"Rīga",
"Neretas Jāņa Jaunsudrabiņa vidusskola","Neretas Jāņa Jaunsudrabiņa vidusskola",4,0,"Rīga",
"Nīcas vidusskola","Nīcas vidusskola",7,118,"Liepāja",
"O.Kalpaka Rīgas Tautas daiļamata pamatskola","O.Kalpaka Rīgas Tautas daiļamatu pamatskola",3,0,"Rīga",
"Ogres 1.vidusskola","Ogres 1. vidusskola",26,536,"Rīga",
"Ogres sākumskola","Ogres sākumskola",12,162,"Rīga",
"Ogres Valsts ģimnāzija","Ogres Valsts ģimnāzija",6,438,"Rīga",
"Ogresgala pamatskola","Ogresgala pamatskola",5,78,"Rīga",
"Olaines 1.vidusskola","Olaines 1. vidusskola",18,0,"Rīga",
"Olaines 2.vidusskola","Olaines 2. vidusskola",3,0,"Rīga",
"Ozolnieku vidusskola","Ozolnieku vidusskola",4,271,"Rīga",
"Palsmanes pamatskola","Palsmanes pamatskola",1,51,"Rīga",
"Pamatskola ""Harmonija""","Pamatskola ""Harmonija""",3,41,"Rīga",
"Pamatskola ""Rīdze""","Pamatskola ""Rīdze""",54,0,"Rīga",
"Penkules pamatskola","Penkules pamatskola",1,42,"Rīga",
"PIKC Liepājas Valsts Tehnikums","PIKC Liepājas Valsts Tehnikums",12,1250,"Liepāja",
"Pļaviņu novada ģimnāzija","Pļaviņu novada ģimnāzija",26,267,"Rīga",
"Preiļu 1. pamatskola","Preiļu 1. pamatskola",12,245,"Daugavpils",
"Preiļu 2. vidusskola","Preiļu 2. vidusskola",8,130,"Daugavpils",
"Preiļu novada Salas pamatskola","Salas pamatskola",6,26,"Daugavpils",
"Preiļu Valsts ģimnāzija","Preiļu Valsts ģimnāzija",8,169,"Daugavpils",
"Priekules vidusskola","Priekules vidusskola",6,169,"Liepāja",
"Priekuļu vidusskola","Priekuļu vidusskola",28,240,"Rīga",
"Privātā pamatskola ""Maksima""","Privātā pamatskola ""Maksima""",3,0,"Rīga",
"Privātā sākumskola Vinnijs","Privātā sākumskola ""Vinnijs""",3,6,"Rīga",
"Privātā vidusskola ""Laisma""","Privātā vidusskola ""Laisma""",3,44,"Rīga",
"Privātā vidusskola ""Patnis""","Privātā vidusskola ""Patnis""",1,0,"Rīga",
"Privātā vidusskola Klasika","Privātā vidusskola Klasika",1,0,"Rīga",
"Pumpuru vidusskola","Pumpuru vidusskola",1,0,"Rīga",
"Puškina licejs","Puškina licejs",20,413,"Rīga",
"Rencēnu pamatskola","Rencēnu pamatskola",2,54,"Rīga",
"Rēzeknes 2.vidusskola","Rēzeknes 2. vidusskola",27,352,"Daugavpils",
"Rēzeknes 3. vidusskola","Rēzeknes 3. vidusskola",5,247,"Daugavpils",
"Rēzeknes 5. vidusskola","Rēzeknes 5. vidusskola",11,337,"Daugavpils",
"Rēzeknes 6. vidusskola","Rēzeknes 6. vidusskola",11,302,"Daugavpils",
"Rēzeknes Katoļu vidusskola","Rēzeknes Katoļu vidusskola",7,0,"Daugavpils",
"Rēzeknes sākumskola","Rēzeknes sākumskola",5,109,"Daugavpils",
"Rēzeknes Valsts 1.ģimnāzija","Rēzeknes Valsts 1. ģimnāzija",9,420,"Daugavpils",
"Rēzeknes valsts poļu ģimnāzija","Rēzeknes valsts poļu ģimnāzija",14,266,"Daugavpils",
"Riebiņu vidusskola","Riebiņu vidusskola",6,0,"Daugavpils",
"RIMS - Riga International Meridian School","Privātā pamatskola ""RIMS-Rīga International meridian school""",2,32,"Rīga",
"Rīgas 10.vidusskola","Rīgas 10. vidusskola",73,552,"Rīga",
"Rīgas 13.vidusskola","Rīgas 13. vidusskola",66,347,"Rīga",
"Rīgas 19. vidusskola","Rīgas 19. vidusskola",1,0,"Rīga",
"Rīgas 22.vidusskola","Rīgas 22. vidusskola",18,414,"Rīga",
"Rīgas 25.vidusskola","Rīgas 25. vidusskola",15,469,"Rīga",
"Rīgas 28.vidusskola","Rīgas 28. vidusskola",1,0,"Rīga",
"Rīgas 31. vidusskola","Rīgas 31. vidusskola",6,300,"Rīga",
"Rīgas 33. vidusskola","Rīgas 33. vidusskola",18,0,"Rīga",
"Rīgas 34. vidusskola","Rīgas 34. vidusskola",53,681,"Rīga",
"Rīgas 40.vidusskola","Rīgas 40. vidusskola",75,665,"Rīga",
"Rīgas 41. vidusskola","Rīgas 41. vidusskola",9,234,"Rīga",
"Rīgas 45. vidusskola","Rīgas 45. vidusskola",34,396,"Rīga",
"Rīgas 46.vidusskola","Rīgas 46. vidusskola",9,502,"Rīga",
"Rīgas 47. vidusskola","Rīgas 47. vidusskola",1,0,"Rīga",
"Rīgas 49.vidusskola","Rīgas 49. vidusskola",39,559,"Rīga",
"Rīgas 51.vidusskola","Rīgas 51. vidusskola",3,350,"Rīga",
"Rīgas 53.vidusskola","Rīgas 53. vidusskola",2,262,"Rīga",
"Rīgas 6. vidusskola","Rīgas 6. vidusskola",4,0,"Rīga",
"Rīgas 63. vidusskola","Rīgas 63. vidusskola",8,0,"Rīga",
"Rīgas 64. vidusskola","Rīgas 64. vidusskola",45,640,"Rīga",
"Rīgas 65. vidusskola","Rīgas 65. vidusskola",29,272,"Rīga",
"Rīgas 69. vidusskola","Rīgas 69. vidusskola",4,0,"Rīga",
"Rīgas 71.vidusskola","Rīgas 71. vidusskola",20,368,"Rīga",
"Rīgas 72. vidusskola","Rīgas 72. vidusskola",69,0,"Rīga",
"Rīgas 80.vidusskola","Rīgas 80. vidusskola",2,0,"Rīga",
"Rīgas 84. vidusskola","Rīgas 84. vidusskola",25,0,"Rīga",
"Rīgas 86.vidusskola","Rīgas 86. vidusskola",14,373,"Rīga",
"Rīgas 88. vidusskola","Rīgas 88. vidusskola",30,507,"Rīga",
"Rīgas 89. vidusskola","Rīgas 89. vidusskola",1,0,"Rīga",
"Rīgas 92. vidusskola","Rīgas 92. vidusskola",9,459,"Rīga",
"Rīgas 94. vidusskola","Rīgas 94. vidusskola",11,298,"Rīga",
"Rīgas 95. vidusskola ","Rīgas 95. vidusskola",23,0,"Rīga",
"Rīgas 96. vidusskola","Rīgas 96. vidusskola",3,526,"Rīga",
"Rīgas Angļu ģimnāzija","Rīgas Angļu ģimnāzija",7,603,"Rīga",
"Rīgas Anniņmuižas vidusskola","Rīgas Anniņmuižas vidusskola",15,496,"Rīga",
"Rīgas Avotu pamatskola","Rīgas Avotu pamatskola",2,108,"Rīga",
"Rīgas Āgenskalna sākumskola","Rīgas Āgenskalna sākumskola",1,0,"Rīga",
"Rīgas Centra daiļamatniecības pamatskola","Rīgas Centra daiļamatniecības pamatskola",6,0,"Rīga",
"Rīgas Centra humanitārā vidusskola","Rīgas Centra humanitārā vidusskola",8,0,"Rīga",
"Rīgas Daugavgrīvas vidusskola","Rīgas Daugavgrīvas vidusskola",13,316,"Rīga",
"Rīgas Doma kora skola","Rīgas Doma kora skola",14,198,"Rīga",
"Rīgas Franču licejs","Rīgas Franču licejs",33,460,"Rīga",
"Rīgas Hanzas vidusskola","Rīgas Hanzas vidusskola",12,540,"Rīga",
"Rīgas I.Kozakēvicas poļu vidusskola","Rīgas Itas Kozakēvičas poļu vidusskola",3,0,"Rīga",
"Rīgas Igauņu pamatskola","Rīgas Igauņu pamatskola",2,0,"Rīga",
"Rīgas Imantas vidusskola","Rīgas Imantas vidusskola",12,365,"Rīga",
"Rīgas Jāņa Poruka vidusskola","Rīgas Jāņa Poruka vidusskola",8,226,"Rīga",
"Rīgas Juglas vidusskola","Rīgas Juglas vidusskola",11,0,"Rīga",
"Rīgas Klasiskā ģimnāzija","Rīgas Klasiskā ģimnāzija",39,820,"Rīga",
"Rīgas Kristīgā vidusskola","Rīgas Kristīgā vidusskola",1,0,"Rīga",
"Rīgas Kultūru vidusskola","Rīgas Kultūru vidusskola",4,0,"Rīga",
"Rīgas Ķengaraga vidusskola","Rīgas Ķengaraga vidusskola",6,417,"Rīga",
"Rīgas Lietuviešu vidusskola","Rīgas Lietuviešu vidusskola",29,234,"Rīga",
"Rīgas Mūzikas internātvidusskola","Rīgas Mūzikas internātvidusskola",4,182,"Rīga",
"Rīgas Natālijas Draudziņas vidusskola","Rīgas Natālijas Draudziņas vidusskola",15,304,"Rīga",
"Rīgas Ostvalda vidusskola","Rīgas Ostvalda vidusskola",12,497,"Rīga",
"Rīgas Pārdaugavas pamatskola","Rīgas Pārdaugavas pamatskola",4,415,"Rīga",
"Rīgas Pļavnieku pamatskola","Rīgas Pļavnieku pamatskola",20,306,"Rīga",
"Rīgas Purvciema vidusskola","Rīgas Purvciema vidusskola",46,780,"Rīga",
"Rīgas Rīnūžu vidusskola","Rīgas Rīnūžu vidusskola",53,370,"Rīga",
"Rīgas Sergeja Žoltoka vidusskola","Rīgas Sergeja Žoltoka vidusskola",1,0,"Rīga",
"Rīgas Starptautiskā skola","Rīgas Starptautiskā skola",1,0,"Rīga",
"Rīgas Teikas vidusskola","Rīgas Teikas vidusskola",14,748,"Rīga",
"Rīgas Uzņēmējdarbības tehniskā vidusskola","Rīgas Uzņēmējdarbības tehniskā vidusskola",2,0,"Rīga",
"Rīgas V.Avotiņa pamatskola - attīstības centrs","Rīgas Valda Avotiņa pamatskola - attīstības centrs",1,0,"Rīga",
"Rīgas Valda Zālīša sākumskola","Rīgas Valda Zālīša sākumskola",54,158,"Rīga",
"Rīgas Valsts 1. ģimnāzija","Rīgas Valsts 1. ģimnāzija",329,0,"Rīga",
"Rīgas Valsts 2. ģimnāzija","Rīgas Valsts 2. ģimnāzija",121,798,"Rīga",
"Rīgas Valsts 3.ģimnāzija","Rīgas Valsts 3. ģimnāzija",36,0,"Rīga",
"Rīgas Valsts vācu ģimnāzija","Rīgas Valsts vācu ģimnāzija",10,630,"Rīga",
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""","Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",5,0,"Rīga",
"Rīgas Zolitūdes ģimnāzija","Rīgas Zolitūdes ģimnāzija",84,946,"Rīga",
"Rojas vidusskola","Rojas vidusskola",2,210,"Rīga",
"Rožupes pamatskola","Rožupes pamatskola",1,41,"Daugavpils",
"RTU Inženierzinātņu vidusskola","RTU inženierzinātņu vidusskola",24,24,"Rīga",
"Rudes pamatskola","Rudes pamatskola",3,23,"Liepāja",
"Rudzātu vidusskola","Rudzātu vidusskola",10,66,"Daugavpils",
"Salas vidusskola","Salas vidusskola",1,0,"Rīga",
"Salaspils 1.vidusskola","Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",16,401,"Rīga",
"Salaspils 2. vidusskola","Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",2,0,"Rīga",
"Saldus 1.vidusskola","Saldus 1. vidusskola",1,296,"Rīga",
"Saulkrastu vidusskola","Saulkrastu vidusskola",2,290,"Rīga",
"sākumskola ""Taurenītis""","Sākumskola ""Taurenītis""",12,37,"Rīga",
"Siguldas 1.pamatskola","Siguldas 1. pamatskola",8,201,"Rīga",
"Siguldas pilsētas vidusskola","Siguldas pilsētas vidusskola",54,320,"Rīga",
"Siguldas Valsts ģimnāzija","Siguldas Valsts ģimnāzija",83,435,"Rīga",
"Sikšņu pamatskola","Sikšņu pamatskola",2,29,"Liepāja",
"Slokas pamatskola","Slokas pamatskola",11,178,"Rīga",
"Smārdes pamatskola","Smārdes pamatskola",1,74,"Rīga",
"Smiltenes Centra vidusskola","Smiltenes Centra vidusskola",16,252,"Rīga",
"Smiltenes ģimnāzija","Smiltenes ģimnāzija",10,205,"Rīga",
"Stalbes vidusskola","Stalbes vidusskola",18,68,"Rīga",
"Straupes pamatskola","Straupes pamatskola",14,55,"Rīga",
"Strenču novada visdusskola","Strenču novada vidusskola",3,93,"Rīga",
"Suntažu vidusskola","Suntažu vidusskola",1,0,"Rīga",
"Š.Dubnova Rīgas Ebreju vidusskola","Š.Dubnova Rīgas Ebreju vidusskola",3,220,"Rīga",
"Špoģu vidusskola","Špoģu vidusskola",3,170,"Daugavpils",
"Talsu Kristīgā vidusskola","Talsu Kristīgā vidusskola",1,0,"Rīga",
"Talsu sākumskola","Talsu sākumskola",4,318,"Rīga",
"Talsu Valsts ģimnāzija","Talsu Valsts ģimnāzija",3,259,"Rīga",
"Tīnūžu pamatskola","Tīnūžu pamatskola",1,85,"Rīga",
"Tukuma 2. pamatskola","Tukuma 2. pamatskola",1,0,"Rīga",
"Tukuma 2.vidusskola","Tukuma 2. vidusskola",25,432,"Rīga",
"Tukuma E. Birznieka - Upīša 1.pamatskola","Tukuma E.Birznieka-Upīša 1. pamatskola",9,327,"Rīga",
"Tukuma Raiņa ģimnāzija","Tukuma Raiņa ģimnāzija",4,0,"Rīga",
"Uzvaras vidusskola","Uzvaras vidusskola",12,102,"Rīga",
"Valkas ģimnāzija","Valkas ģimnāzija",8,204,"Rīga",
"Valkas pamatskola","Valkas pamatskola",2,179,"Rīga",
"Valmieras 5.vidusskola","Valmieras 5. vidusskola",6,0,"Rīga",
"Valmieras Pārgaujas ģimnāzija","Valmieras Pārgaujas ģimnāzija",27,516,"Rīga",
"Valmieras Pārgaujas sākumskola","Valmieras Pārgaujas sākumskola",5,180,"Rīga",
"Valmieras sākumskola","Valmieras sākumskola",14,0,"Rīga",
"Valmieras Valsts ģimnāzija","Valmieras Valsts ģimnāzija",31,472,"Rīga",
"Valmieras Viestura vidusskola","Valmieras Viestura vidusskola",34,495,"Rīga",
"Vecpiebalgas vidusskola ","Vecpiebalgas vidusskola ",1,0,"Rīga",
"Vecumnieku vidusskola","Vecumnieku vidusskola",8,190,"Rīga",
"Ventspils 1.pamatskola","Ventspils 1. pamatskola",2,0,"Liepāja",
