Teritorija;SkoleniPavisam2011;SkoleniZeni2011;SkoleniMeitenes2011;SkoleniPavisam2012;SkoleniZeni2012;SkoleniMeitenes2012;SkoleniPavisam2013;SkoleniZeni2013;SkoleniMeitenes2013;SkoleniPavisam2014;SkoleniZeni2014;SkoleniMeitenes2014;SkoleniPavisam2015;SkoleniZeni2015;SkoleniMeitenes2015
"Līgatnes novads";434;214;220;420;213;207;396;198;198;361;182;179;358;178;180
"Līvānu novads";1563;774;789;1482;738;744;1426;712;714;1376;673;703;1359;665;694
"Lubānas novads";353;170;183;319;151;168;283;130;153;271;131;140;263;118;145
"Ludzas novads";1640;851;789;1534;779;755;1461;749;712;1443;726;717;1428;735;693
"Madonas novads";3463;1760;1703;3209;1649;1560;3043;1557;1486;2885;1488;1397;2772;1434;1338
"Mazsalacas novads";431;208;223;413;206;207;377;192;185;359;183;176;350;184;166
"Mālpils novads";499;264;235;483;252;231;455;235;220;452;238;214;456;248;208
"Mārupes novads";2144;1112;1032;2129;1101;1028;2159;1124;1035;2307;1188;1119;2494;1295;1199
"Mērsraga novads";196;98;98;182;97;85;181;94;87;188;99;89;184;93;91
"Naukšēnu novads";316;168;148;290;158;132;267;149;118;260;146;114;241;132;109
"Neretas novads";506;285;221;464;260;204;438;248;190;400;221;179;377;206;171
"Nīcas novads";452;239;213;431;229;202;401;210;191;400;201;199;394;206;188
"Ogres novads";4295;2195;2100;4108;2094;2014;4105;2101;2004;4074;2087;1987;4118;2083;2035
"Olaines novads";2265;1139;1126;2248;1122;1126;2273;1147;1126;2264;1152;1112;2302;1154;1148
"Ozolnieku novads";1202;619;583;1209;608;601;1195;598;597;1158;573;585;1207;595;612
"Pārgaujas novads";508;270;238;476;257;219;465;249;216;458;240;218;455;240;215
"Pāvilostas novads";365;175;190;341;164;177;317;156;161;305;142;163;294;138;156
"Pļaviņu novads";722;378;344;676;352;324;653;343;310;632;325;307;596;302;294
"Preiļu novads";1324;680;644;1185;600;585;1124;572;552;1064;530;534;1035;505;530
"Priekules novads";835;415;420;798;399;399;785;388;397;752;384;368;719;363;356
